.Test sequence (s)	Network Dependency	Re-lease	Rel-13 ME	Description	
27.22.8.1/7	UMTS System Simulator or System Simulator only	R99	C183	With Proactive command, the USIM responds with '90 00', Allowed, no modification	
27.22.8.1/8	UMTS System Simulator or System Simulator only	R99	C183	Send Short Message attempt by user, the USIM responds with '90 00', Allowed, no modification	
27.22.8.1/9				Void	
27.22.8.1/10	E-USS or NB-SS (See NOTE)	Rel-8	C221	MO SM CONTROL BY USIM over SG in E-UTRAN, with Proactive command, Allowed, no modification	
27.22.8.1/11	E-USS or NB-SS (See NOTE)	Rel-8	C221	MO SM CONTROL BY USIM over SG in E-UTRAN, with user SMS, Allowed, no modification	
27.22.8.1/12	E-USS or NB-SS (See NOTE)	Rel-8	C221	MO SM CONTROL BY USIM over SG in E-UTRAN, with Proactive command, Not allowed	
27.22.8.1/13	E-USS or NB-SS (See NOTE)	Rel-8	C221	MO SM CONTROL BY USIM over SG in E-UTRAN, with user SMS, Not allowed	
27.22.8.1/14	E-USS or NB-SS (See NOTE)	Rel-8	C221	MO SM CONTROL BY USIM over SG in E-UTRAN, with Proactive command, Allowed with modifications'	
27.22.8.1/15	E-USS or NB-SS (See NOTE)	Rel-8	C221	MO SM CONTROL BY USIM over SG in E-UTRAN, with user SMS, Allowed with modifications	
27.22.8.1/16	E-USS or NB-SS (See NOTE)	Rel-8	C221	MO SM CONTROL BY USIM over SG in E-UTRAN, with Proactive command, the USIM responds with '90 00', Allowed, no modification	
27.22.8.1/17	E-USS or NB-SS (See NOTE)	Rel-8	C221	MO SM CONTROL BY USIM over SG in E-UTRAN, Send Short Message attempt by user, the USIM responds with '90 00', Allowed, no modification	
27.22.8					
27.22.8.TBD	TBD	Rel-4		SERVICE SEARCH	
27.22.8.TBD	TBD	Rel-4		GET SERVICE INFORMATION	
27.22.8.TBD	TBD	Rel-4		DECLARE SERVICE	
27.22.8.TBD	TBD	Rel-6		RETRIEVE MULTIMEDIA MESSAGE	
27.22.8.TBD	TBD	Rel-6		SUBMIT MULTIMEDIA MESSAGE	
27.22.8.TBD	TBD	Rel-6		DISPLAY MULTIMEDIA MESSAGE	
27.22.8.TBD	TBD	Rel-6		SET FRAMES	
27.22.8.TBD	TBD	Rel-6		GET FRAME STATUS	
27.22.9				Handling of command number 27.22.9	
27.22.9.1/1	No	R99	C177	DISPLAY TEXT normal priority	
27.22.9					
27.22.10				Call Control on EPS PDN connection 27.22.10	
27.22.10.1/1	E-USS or NB-SS (See NOTE)	Rel-8		CALL CONTROL on EPS PDN for E-UTRAN – default PDN connection activation, allowed without modification	
27.22.10.1/2	E-USS or NB-SS (See NOTE)	Rel-8		CALL CONTROL on EPS PDN for E-UTRAN – default PDN connection activation, not allowed	
27.22.10.1/3	E-USS or NB-SS (See NOTE)	Rel-8		CALL CONTROL on EPS PDN for E-UTRAN – default PDN connection activation, allowed with modification	
27.22.10.1/4	E-USS only 	Rel-8		CALL CONTROL on EPS PDN for E-UTRAN – PDN connection triggered by user, UICC sends 90 00	
27.22.10.1/5	E-USS only 	Rel-8		CALL CONTROL on EPS PDN for E-UTRAN – PDN connection triggered by user, UICC sends 93 00	
27.22.10.1/6	E-USS only	Rel-8		CALL CONTROL on EPS PDN for E-UTRAN – PDN connection triggered by user, allowed with modification	
27.22.10.1/7	E-USS only 	Rel-8		CALL CONTROL on EPS PDN -  PDN connection activation from OPEN CHANNEL command	
27.22.11				Call Control on PDP Context Activation 27.22.11	
27.22.11.1/1	UMTS System Simulator or System Simulator only	R99	N/A	CALL CONTROL on PDP Context Activation – default PDP connection activation, allowed without modification	
27.22.11.1/2	UMTS System Simulator or System Simulator only	R99	N/A	CALL CONTROL on PDP Context Activation – default PDP connection activation, not allowed	
27.22.11.1/3	UMTS System Simulator or System Simulator only	R99	N/A	CALL CONTROL on PDP Context Activation – default PDP connection activation, allowed with modification	
27.22.11.1/4	UMTS System Simulator or System Simulator only	R99	N/A	CALL CONTROL on PDP Context Activation – PDP connection triggered by user, UICC sends 90 00	
27.22.11.1/5	UMTS System Simulator or System Simulator only	R99	N/A	CALL CONTROL on PDP Context Activation – PDP connection triggered by user, UICC sends 93 00	
27.22.11.1/6	UMTS System Simulator or System Simulator only	R99	N/A	CALL CONTROL on PDP Context Activation – PDP connection triggered by user, allowed with modification	
27.22.11.1/7	UMTS System Simulator or System Simulator only	R99	N/A	CALL CONTROL on PDP Context Activation -  PDP connection activation from OPEN CHANNEL command	
