.Test sequence (s)	Network Dependency	Re-lease	Rel-13 ME	Description	
27.22.4.7.1/6	UMTS System Simulator or System Simulator only	R99	C146 AND C177 AND C178 AND C180 AND C183	USIM Initialization after SMS-PP data download	
27.22.4.7.1/7	UMTS System Simulator or System Simulator only	R99	C146 AND C177 AND C178 AND C180 AND C183	USIM Application Reset	
27.22.4.7.2/1	UMTS System Simulator or System Simulator only	R99	M	UICC Reset for IMSI Changing procedure	
27.22.4.7.2/2	Yes	R99	M	USIM Application Reset for IMSI Changing procedure	
27.22.4.7.2/3	UMTS System Simulator or System Simulator only	R99	M	3G Session Reset for IMSI Changing procedure	
27.22.4.7.2/4	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	reject 3G Session Reset for IMSI Changing procedure during CScall	
27.22.4.7.2/5	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	reject UICC Reset for IMSI Changing procedure during CS call	
27.22.4.7.2/6	UMTS System Simulator or System Simulator only	R99	C215	UICC Reset for IMSI Changing procedure during active PDP context	
27.22.4.7.2/7	UMTS System Simulator or System Simulator only	R99	C215	3G Session Reset for IMSI Change procedure during active PDP context	
27.22.4.7.3/1	UMTS System Simulator only	Rel-7	C184	Steering of roaming, UTRAN	
27.22.4.7.3/2	UMTS System Simulator and System Simulator	Rel-7	C167 AND C184	Steering of roaming, InterRAT	
27.22.4.7.3/3	E-USS or NB-SS (See NOTE)	Rel-8	C222	Steering of roaming, E-UTRAN	
27.22.4.7.4/1	E-USS only or UMTS System Simulator	Rel-8	C202 OR C203	Refresh with AID, E-UTRAN or UTRAN	
27.22.4.7.5/1	E-USSor NB-SS (See NOTE) 	Rel-8	C222	UICC Reset for IMSI Changing procedure, E-UTRAN	
27.22.4.7.5/2	E-USSor NB-SS (See NOTE) 	Rel-8	C222	3G Session Reset for IMSI Changing procedure, E-UTRAN	
27.22.4.8				SET UP MENU 27.22.4.8	
27.22.4.8.1/1	No	R99	C177 AND C178	Set up, menu selection, replace and remove menu	
27.22.4.8.1/2	No	R99	C177 AND C178	Large menu	
27.22.4.8.2/1	No	R99	C107 AND C177 AND C178	help information	
27.22.4.8.3/1	No	R99	C177 AND C178	next action indicator	
27.22.4.8.4/1	No	R99	C172 AND C177 AND C178	Icons	
27.22.4.8.4/2	No	R99	C172 AND C177 AND C178	Icons	
27.22.4.8.5/1	No	R99	C112 AND C177 AND C178	soft key access 	
27.22.4.8.6/1	No	Rel-5	C153 AND C177 AND C178	Text attribute – left alignment	
27.22.4.8.6/2	No	Rel-5	C154 AND C177 AND C178	Text attribute – center alignment	
27.22.4.8.6/3	No	Rel-5	C155 AND C177 AND C178	Text attribute – right alignment	
27.22.4.8.6/4	No	Rel-5	C157 AND C156 AND C177 AND C178	Text attribute – large font size	
27.22.4.8.6/5	No	Rel-5	C158 AND C156 AND C177 AND C178	Text attribute – small font size	
27.22.4.8.6/6	No	Rel-5	C160 AND C159 AND C177 AND C178	Text attribute – bold on	
27.22.4.8.6/7	No	Rel-5	C161 AND C159 AND C177 AND C178	Text attribute – italic on	
27.22.4.8.6/8	No	Rel-5	C162 AND C159 AND C177 AND C178	Text attribute – underlined on	
27.22.4.8.6/9	No	Rel-5	C163 AND C159 AND C177 AND C178	Text attribute – strikethrough on	
27.22.4.8.6/10	No	Rel-5	C164 AND C165 AND C177 AND C178	Text attribute – foreground and background colours	
27.22.4.8.7/1	No	R99	C118 AND C177 AND C178	UCS2 display in Cyrillic	
27.22.4.8.8/1	No	R99	C143 AND C177 AND C178	UCS2 display in Chinese	
27.22.4.8.9/1	No	R99	C145 AND C177 AND C178	UCS2 display in Katakana	
27.22.4.9				SELECT ITEM 27.22.4.9	
27.22.4.9.1/1	No	R99	C177 AND C178	Mandatory features	
27.22.4.9.1/2	No	R99	C177 AND C178	Large menu	
27.22.4.9.1/3	No	R99	C177 AND C178	Large menu	
27.22.4.9.1/5	No	R99	C177 AND C178	Large menu	
27.22.4.9.1/6	No	R99	C177 AND C178	Large menu	
27.22.4.9.1/4	No	R99	C177 AND C178	Backwards move	
27.22.4.9.1/5	No	R99	C177 AND C178	user termination	
27.22.4.9.2/1	No	R99	C177 AND C178	next action indicator	
27.22.4.9.3/1	No	R99	C177 AND C178 AND C194	default selected item	
27.22.4.9.4/1	No	R99	C107 AND C177 AND C178	help information	
27.22.4.9.5/1	No	R99	C172 AND C177 AND C178	Icons	
27.22.4.9.5/2	No	R99	C172 AND C177 AND C178	Icons	
27.22.4.9.6/1	No	R99	C177 AND C178	Presentation style	
27.22.4.9.6/2	No	R99	C177 AND C178	Presentation style	
27.22.4.9.7/1	No	R99	C112 AND C177 AND C178	Soft keys	
27.22.4.9.8/1	No	R99	C120 AND C177 AND C178	No Response from user	
27.22.4.9.9/1	No	Rel-5	C153 AND C177 AND C178	Text attribute – left alignment	
27.22.4.9.9/2	No	Rel-5	C154 AND C177 AND C178	Text attribute – center alignment	
27.22.4.9.9/3	No	Rel-5	C155 AND C177 AND C178	Text attribute – right alignment	
27.22.4.9.9/4	No	Rel-5	C157 AND C156 AND C177 AND C178	Text attribute – large font size	
27.22.4.9.9/5	No	Rel-5	C158 AND C156 AND C177 AND C178	Text attribute – small font size	
27.22.4.9.9/6	No	Rel-5	C160 AND C159 AND C177 AND C178	Text attribute – bold on	
27.22.4.9.9/7	No	Rel-5	C161 AND C159 AND C177 AND C178	Text attribute – italic on	
27.22.4.9.9/8	No	Rel-5	C162 AND C159 AND C177 AND C178	Text attribute – underline on	
27.22.4.9.9/9	No	Rel-5	C163 AND C159 AND C177 AND C178	Text attribute – strikethrough on	
27.22.4.9.9/10	No	Rel-5	C164 AND C165 AND C177 AND C178	Text attribute – foreground and background colours	
27.22.4.9.10/1	No	R99	C118 AND C177 AND C178	UCS2 display in Cyrillic	
27.22.4.9.10/2	No	R99	C118 AND C177 AND C178	UCS2 display in Cyrillic	
27.22.4.9.10/3	No	R99	C118 AND C177 AND C178	UCS2 display in Cyrillic	
27.22.4.9.11/1	No	R99	C143 AND C177 AND C178	UCS2 display in Chinese	
27.22.4.9.12/1	No	R99	C145 AND C177 AND C178	UCS2 display in Katakana	
27.22.4.9.12/2	No	R99	C145 AND C177 AND C178	UCS2 display in Katakana	
27.22.4.9.12/3	No	R99	C145 AND C177 AND C178	UCS2 display in Katakana	
27.22.4.9.TBD	TBD	Rel-6		Frames	
27.22.4.10				SEND SMS 27.22.4.10	
27.22.4.10.1/1		R99		Void	
27.22.4.10.1/2		R99		Void	
27.22.4.10.1/3		R99		Void	
27.22.4.10.1/4		R99		Void	
27.22.4.10.1/5		R99		Void	
27.22.4.10.1/6		R99		Void	
27.22.4.10.1/7		R99		Void	
27.22.4.10.1/9	UMTS System Simulator or System Simulator only	R99	C210	Send Short Message over CS/PS, UTRAN/GERAN	
27.22.4.10.2/1	UMTS System Simulator or System Simulator only	R99	NA	UCS2 SMS in Cyrillic	
27.22.4.10.3/1	UMTS System Simulator or System Simulator only	R99	NA	Icons – basic icon	
27.22.4.10.3/2	UMTS System Simulator or System Simulator only	R99	NA	Icons – basic icon	
27.22.4.10.4/1	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute– left alignment	
27.22.4.10.4/2	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute – center alignment	
27.22.4.10.4/3	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute – right alignment	
27.22.4.10.4/4	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute – large font size	
27.22.4.10.4/5	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute – small font size	
27.22.4.10.4/6	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute – bold on	
27.22.4.10.4/7	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute – italic on	
27.22.4.10.4/8	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute – underline on	
27.22.4.10.4/9	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute– strikethrough on	
27.22.4.10.4/10	UMTS System Simulator or System Simulator only	Rel-5	NA	Text attribute – foreground and background colours	
27.22.4.10.5/1	UMTS System Simulator or System Simulator only	R99	NA	UCS2 display in Chinese	
27.22.4.10.6/1	UMTS System Simulator or System Simulator only	R99	NA	UCS2 display in Katakana	
27.22.4.10.7/1	E-USS only	Rel-8	C196	SMS-over-IP, E-UTRAN	
27.22.4.10.7/2	UMTS System Simulator or System Simulator only	Rel-7	C197	SMS-over-IP, UTRAN	
27.22.4.10.8/1	E-USS or NB-SS (See NOTE)	Rel-8	C220	Send Short Message over SGs, E-UTRAN	
27.22.4.10.TBD	TBD	Rel-6		Frames	
27.22.4.11				SEND SS 27.22.4.11	
27.22.4.11.1/1	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful	
27.22.4.11.1/1a	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful		Extra
27.22.4.11.1/1b	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful		Extra
27.22.4.11.1/2	UMTS System Simulator or System Simulator only	R99	C174 AND C183 AND C204	call forward unconditional, all bearers, Return Error	
27.22.4.11.1/2a	UMTS System Simulator or System Simulator only	R99	C174 AND C183 AND C204	call forward unconditional, all bearers, Return Error		Extra
27.22.4.11.1/2b	UMTS System Simulator or System Simulator only	R99	C174 AND C183 AND C204	call forward unconditional, all bearers, Return Error		Extra
27.22.4.11.1/3	UMTS System Simulator or System Simulator only	R99	C174 AND C183 AND C204	call forward unconditional, all bearers, Reject	
27.22.4.11.1/3a	UMTS System Simulator or System Simulator only	R99	C174 AND C183 AND C204	call forward unconditional, all bearers, Reject		Extra
27.22.4.11.1/3b	UMTS System Simulator or System Simulator only	R99	C174 AND C183 AND C204	call forward unconditional, all bearers, Reject		Extra
27.22.4.11.1/4	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, SS request size limit	
27.22.4.11.1/4a	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, SS request size limit		Extra
27.22.4.11.1/4b	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, SS request size limit		Extra
27.22.4.11.1/5	UMTS System Simulator or System Simulator only	R99	C175 AND C183 AND C204	interrogate CLIR status, successful, alpha identifier limits	
27.22.4.11.1/5a	UMTS System Simulator or System Simulator only	R99	C175 AND C183 AND C204	interrogate CLIR status, successful, alpha identifier limits		Extra
27.22.4.11.1/5b	UMTS System Simulator or System Simulator only	R99	C175 AND C183 AND C204	interrogate CLIR status, successful, alpha identifier limits		Extra
27.22.4.11.1/6	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, null data alpha identifier	
27.22.4.11.1/6a	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, null data alpha identifier		Extra
27.22.4.11.1/6b	UMTS System Simulator or System Simulator only	R99	C166 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, null data alpha identifier		Extra
27.22.4.11.2/1	UMTS System Simulator or System Simulator only	R99	C108 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon support	
27.22.4.11.2/1a	UMTS System Simulator or System Simulator only	R99	C108 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon support		Extra
27.22.4.11.2/1b	UMTS System Simulator or System Simulator only	R99	C108 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon support		Extra
27.22.4.11.2/3	UMTS System Simulator or System Simulator only	R99	C108 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon support	
27.22.4.11.2/3a	UMTS System Simulator or System Simulator only	R99	C108 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon support		Extra
27.22.4.11.2/3b	UMTS System Simulator or System Simulator only	R99	C108 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon support		Extra
27.22.4.11.2/2	UMTS System Simulator or System Simulator only	R99	C171 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, colour icon support	
27.22.4.11.2/2a	UMTS System Simulator or System Simulator only	R99	C171 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, colour icon support		Extra
27.22.4.11.2/2b	UMTS System Simulator or System Simulator only	R99	C171 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, colour icon support		Extra
27.22.4.11.2/4	UMTS System Simulator or System Simulator only	R99	C185 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon non self-explanatory, no alpha identifier presented	
27.22.4.11.2/4a	UMTS System Simulator or System Simulator only	R99	C185 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon non self-explanatory, no alpha identifier presented		Extra
27.22.4.11.2/4b	UMTS System Simulator or System Simulator only	R99	C185 AND C174 AND C183 AND C204	call forward unconditional, all bearers, successful, basic icon non self-explanatory, no alpha identifier presented		Extra
27.22.4.11.3/1	UMTS System Simulator or System Simulator only	R99	C118 AND C174 AND C183 AND C204	UCS2 display in Cyrillic	
27.22.4.11.3/1a	UMTS System Simulator or System Simulator only	R99	C118 AND C174 AND C183 AND C204	UCS2 display in Cyrillic		Extra
27.22.4.11.3/1b	UMTS System Simulator or System Simulator only	R99	C118 AND C174 AND C183 AND C204	UCS2 display in Cyrillic		Extra
27.22.4.11.4/1	UMTS System Simulator or System Simulator only	Rel-5	C153 AND C166 AND C174 AND C183 AND C204	Text attribute – left alignment	
27.22.4.11.4/1a	UMTS System Simulator or System Simulator only	Rel-5	C153 AND C166 AND C174 AND C183 AND C204	Text attribute – left alignment		Extra
27.22.4.11.4/1b	UMTS System Simulator or System Simulator only	Rel-5	C153 AND C166 AND C174 AND C183 AND C204	Text attribute – left alignment		Extra
27.22.4.11.4/2	UMTS System Simulator or System Simulator only	Rel-5	C154 AND C166 AND C174 AND C183 AND C204	Text attribute – center alignment	
27.22.4.11.4/2a	UMTS System Simulator or System Simulator only	Rel-5	C154 AND C166 AND C174 AND C183 AND C204	Text attribute – center alignment		Extra
27.22.4.11.4/2b	UMTS System Simulator or System Simulator only	Rel-5	C154 AND C166 AND C174 AND C183 AND C204	Text attribute – center alignment		Extra
27.22.4.11.4/3	UMTS System Simulator or System Simulator only	Rel-5	C155 AND C166 AND C174 AND C183 AND C204	Text attribute – right alignment	
27.22.4.11.4/3a	UMTS System Simulator or System Simulator only	Rel-5	C155 AND C166 AND C174 AND C183 AND C204	Text attribute – right alignment		Extra
27.22.4.11.4/3b	UMTS System Simulator or System Simulator only	Rel-5	C155 AND C166 AND C174 AND C183 AND C204	Text attribute – right alignment		Extra
27.22.4.11.4/4	UMTS System Simulator or System Simulator only	Rel-5	C157AND C156ANDC166 AND C174 AND C183 AND C204	Text attribute – large font size	
27.22.4.11.4/4a	UMTS System Simulator or System Simulator only	Rel-5	C157AND C156ANDC166 AND C174 AND C183 AND C204	Text attribute – large font size		Extra
27.22.4.11.4/4b	UMTS System Simulator or System Simulator only	Rel-5	C157AND C156ANDC166 AND C174 AND C183 AND C204	Text attribute – large font size		Extra
27.22.4.11.4/5	UMTS System Simulator or System Simulator only	Rel-5	C158AND C156 AND C166 AND C174 AND C183 AND C204	Text attribute – small font size	
27.22.4.11.4/5a	UMTS System Simulator or System Simulator only	Rel-5	C158AND C156 AND C166 AND C174 AND C183 AND C204	Text attribute – small font size		Extra
27.22.4.11.4/5b	UMTS System Simulator or System Simulator only	Rel-5	C158AND C156 AND C166 AND C174 AND C183 AND C204	Text attribute – small font size		Extra
27.22.4.11.4/6	UMTS System Simulator or System Simulator only	Rel-5	C160 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – bold on	
